Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d, e, f",1,268116.00,6.00,268122.00,true
"a, b, c, d, e, f",2,223268.00,1.00,223269.00,true
"a, b, c, d, e, f",3,278372.00,1.00,278373.00,true
"a, b, c, d, e, f",4,233370.00,1.00,233371.00,true
"a, b, c, d, e, f",5,239984.00,1.00,239985.00,true
"a, b, c, d, e, f",6,230507.00,1.00,230508.00,true
"a, b, c, d, e, f",7,217090.00,1.00,217091.00,true
"a, b, c, d, e, f",8,220628.00,1.00,220629.00,true
"a, b, c, d, e, f",9,225147.00,1.00,225148.00,true
"a, b, c, d, e, f",10,222993.00,1.00,222994.00,true
