Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c",1,210488.00,8.00,210496.00,true
"a, b, c",2,205361.00,1.00,205362.00,true
"a, b, c",3,210763.00,1.00,210764.00,true
"a, b, c",4,209971.00,1.00,209972.00,true
"a, b, c",5,212061.00,1.00,212062.00,true
"a, b, c",6,213761.00,1.00,213762.00,true
"a, b, c",7,213044.00,1.00,213045.00,true
"a, b, c",8,212818.00,1.00,212819.00,true
"a, b, c",9,212343.00,1.00,212344.00,true
"a, b, c",10,216146.00,2.00,216148.00,true
"a, b, c, d",1,211221.00,12.00,211233.00,true
"a, b, c, d",2,212547.00,1.00,212548.00,true
"a, b, c, d",3,213693.00,1.00,213694.00,true
"a, b, c, d",4,213606.00,1.00,213607.00,true
"a, b, c, d",5,212592.00,1.00,212593.00,true
"a, b, c, d",6,212655.00,1.00,212656.00,true
"a, b, c, d",7,219731.00,1.00,219732.00,true
"a, b, c, d",8,230128.00,1.00,230129.00,true
"a, b, c, d",9,216456.00,1.00,216457.00,true
"a, b, c, d",10,216253.00,1.00,216254.00,true
"a, b, c, d, e",1,222668.00,7.00,222675.00,true
"a, b, c, d, e",2,230246.00,1.00,230247.00,true
"a, b, c, d, e",3,212478.00,1.00,212479.00,true
"a, b, c, d, e",4,215716.00,1.00,215717.00,true
"a, b, c, d, e",5,233184.00,1.00,233185.00,true
"a, b, c, d, e",6,213335.00,1.00,213336.00,true
"a, b, c, d, e",7,213979.00,1.00,213980.00,true
"a, b, c, d, e",8,219503.00,1.00,219504.00,true
"a, b, c, d, e",9,216020.00,1.00,216021.00,true
"a, b, c, d, e",10,214771.00,1.00,214772.00,true
"a, b, c, d, e, f",1,213001.00,10.00,213011.00,true
"a, b, c, d, e, f",2,213129.00,1.00,213130.00,true
"a, b, c, d, e, f",3,246860.00,1.00,246861.00,true
"a, b, c, d, e, f",4,213672.00,1.00,213673.00,true
"a, b, c, d, e, f",5,214425.00,1.00,214426.00,true
"a, b, c, d, e, f",6,215967.00,1.00,215968.00,true
"a, b, c, d, e, f",7,214542.00,2.00,214544.00,true
"a, b, c, d, e, f",8,221547.00,1.00,221548.00,true
"a, b, c, d, e, f",9,215899.00,1.00,215900.00,true
"a, b, c, d, e, f",10,219978.00,1.00,219979.00,true
