Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d, e, f",1,213001.00,10.00,213011.00,true
"a, b, c, d, e, f",2,213129.00,1.00,213130.00,true
"a, b, c, d, e, f",3,246860.00,1.00,246861.00,true
"a, b, c, d, e, f",4,213672.00,1.00,213673.00,true
"a, b, c, d, e, f",5,214425.00,1.00,214426.00,true
"a, b, c, d, e, f",6,215967.00,1.00,215968.00,true
"a, b, c, d, e, f",7,214542.00,2.00,214544.00,true
"a, b, c, d, e, f",8,221547.00,1.00,221548.00,true
"a, b, c, d, e, f",9,215899.00,1.00,215900.00,true
"a, b, c, d, e, f",10,219978.00,1.00,219979.00,true
