Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c",1,419.00,1.00,420.00,true
"a, b, c",2,336.00,1.00,337.00,true
"a, b, c",3,619.00,1.00,620.00,true
"a, b, c",4,345.00,1.00,346.00,true
"a, b, c",5,381.00,3.00,384.00,true
"a, b, c",6,368.00,1.00,369.00,true
"a, b, c",7,596.00,1.00,597.00,true
"a, b, c",8,315.00,2.00,317.00,true
"a, b, c",9,612.00,1.00,613.00,true
"a, b, c",10,304.00,1.00,305.00,true
"a, b, c, d",1,385.00,5.00,390.00,true
"a, b, c, d",2,644.00,1.00,645.00,true
"a, b, c, d",3,327.00,1.00,328.00,true
"a, b, c, d",4,338.00,1.00,339.00,true
"a, b, c, d",5,350.00,1.00,351.00,true
"a, b, c, d",6,340.00,1.00,341.00,true
"a, b, c, d",7,348.00,1.00,349.00,true
"a, b, c, d",8,831.00,2.00,833.00,true
"a, b, c, d",9,328.00,1.00,329.00,true
"a, b, c, d",10,628.00,1.00,629.00,true
"a, b, c, d, e",1,376.00,1.00,377.00,true
"a, b, c, d, e",2,339.00,1.00,340.00,true
"a, b, c, d, e",3,318.00,2.00,320.00,true
"a, b, c, d, e",4,393.00,4.00,397.00,true
"a, b, c, d, e",5,356.00,1.00,357.00,true
"a, b, c, d, e",6,345.00,5.00,350.00,true
"a, b, c, d, e",7,330.00,1.00,331.00,true
"a, b, c, d, e",8,655.00,2.00,657.00,true
"a, b, c, d, e",9,313.00,1.00,314.00,true
"a, b, c, d, e",10,327.00,2.00,329.00,true
"a, b, c, d, e, f",1,352.00,1.00,353.00,true
"a, b, c, d, e, f",2,336.00,1.00,337.00,true
"a, b, c, d, e, f",3,343.00,1.00,344.00,true
"a, b, c, d, e, f",4,609.00,1.00,610.00,true
"a, b, c, d, e, f",5,338.00,2.00,340.00,true
"a, b, c, d, e, f",6,363.00,2.00,365.00,true
"a, b, c, d, e, f",7,336.00,1.00,337.00,true
"a, b, c, d, e, f",8,338.00,2.00,340.00,true
"a, b, c, d, e, f",9,343.00,1.00,344.00,true
"a, b, c, d, e, f",10,341.00,1.00,342.00,true
