Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d, e",1,222668.00,7.00,222675.00,true
"a, b, c, d, e",2,230246.00,1.00,230247.00,true
"a, b, c, d, e",3,212478.00,1.00,212479.00,true
"a, b, c, d, e",4,215716.00,1.00,215717.00,true
"a, b, c, d, e",5,233184.00,1.00,233185.00,true
"a, b, c, d, e",6,213335.00,1.00,213336.00,true
"a, b, c, d, e",7,213979.00,1.00,213980.00,true
"a, b, c, d, e",8,219503.00,1.00,219504.00,true
"a, b, c, d, e",9,216020.00,1.00,216021.00,true
"a, b, c, d, e",10,214771.00,1.00,214772.00,true
