Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d",1,222407.00,6.00,222413.00,true
"a, b, c, d",2,208411.00,1.00,208412.00,true
"a, b, c, d",3,220868.00,1.00,220869.00,true
"a, b, c, d",4,343386.00,9.00,343395.00,true
"a, b, c, d",5,228345.00,1.00,228346.00,true
"a, b, c, d",6,221704.00,1.00,221705.00,true
"a, b, c, d",7,221672.00,2.00,221674.00,true
"a, b, c, d",8,213109.00,1.00,213110.00,true
"a, b, c, d",9,215878.00,1.00,215879.00,true
"a, b, c, d",10,221148.00,1.00,221149.00,true
"a, b, c, d, e",1,209906.00,10.00,209916.00,true
"a, b, c, d, e",2,207009.00,1.00,207010.00,true
"a, b, c, d, e",3,222899.00,1.00,222900.00,true
"a, b, c, d, e",4,215828.00,1.00,215829.00,true
"a, b, c, d, e",5,219607.00,1.00,219608.00,true
"a, b, c, d, e",6,211910.00,1.00,211911.00,true
"a, b, c, d, e",7,214249.00,1.00,214250.00,true
"a, b, c, d, e",8,213357.00,1.00,213358.00,true
"a, b, c, d, e",9,214313.00,1.00,214314.00,true
"a, b, c, d, e",10,213217.00,1.00,213218.00,true
"a, b, c, d, e, f",1,268116.00,6.00,268122.00,true
"a, b, c, d, e, f",2,223268.00,1.00,223269.00,true
"a, b, c, d, e, f",3,278372.00,1.00,278373.00,true
"a, b, c, d, e, f",4,233370.00,1.00,233371.00,true
"a, b, c, d, e, f",5,239984.00,1.00,239985.00,true
"a, b, c, d, e, f",6,230507.00,1.00,230508.00,true
"a, b, c, d, e, f",7,217090.00,1.00,217091.00,true
"a, b, c, d, e, f",8,220628.00,1.00,220629.00,true
"a, b, c, d, e, f",9,225147.00,1.00,225148.00,true
"a, b, c, d, e, f",10,222993.00,1.00,222994.00,true
"a, b, c, d, e, f, g",1,222677.00,1.00,222678.00,true
"a, b, c, d, e, f, g",2,214393.00,1.00,214394.00,true
"a, b, c, d, e, f, g",3,228220.00,1.00,228221.00,true
"a, b, c, d, e, f, g",4,218731.00,2.00,218733.00,true
"a, b, c, d, e, f, g",5,212384.00,1.00,212385.00,true
"a, b, c, d, e, f, g",6,225092.00,1.00,225093.00,true
"a, b, c, d, e, f, g",7,220087.00,1.00,220088.00,true
"a, b, c, d, e, f, g",8,220244.00,1.00,220245.00,true
"a, b, c, d, e, f, g",9,221385.00,1.00,221386.00,true
"a, b, c, d, e, f, g",10,224252.00,1.00,224253.00,true
