Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d, e",1,209906.00,10.00,209916.00,true
"a, b, c, d, e",2,207009.00,1.00,207010.00,true
"a, b, c, d, e",3,222899.00,1.00,222900.00,true
"a, b, c, d, e",4,215828.00,1.00,215829.00,true
"a, b, c, d, e",5,219607.00,1.00,219608.00,true
"a, b, c, d, e",6,211910.00,1.00,211911.00,true
"a, b, c, d, e",7,214249.00,1.00,214250.00,true
"a, b, c, d, e",8,213357.00,1.00,213358.00,true
"a, b, c, d, e",9,214313.00,1.00,214314.00,true
"a, b, c, d, e",10,213217.00,1.00,213218.00,true
