Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d",1,382.00,1.00,383.00,true
"a, b, c, d",2,335.00,1.00,336.00,true
"a, b, c, d",3,351.00,1.00,352.00,true
"a, b, c, d",4,367.00,2.00,369.00,true
"a, b, c, d",5,341.00,1.00,342.00,true
"a, b, c, d",6,317.00,2.00,319.00,true
"a, b, c, d",7,333.00,1.00,334.00,true
"a, b, c, d",8,331.00,1.00,332.00,true
"a, b, c, d",9,362.00,1.00,363.00,true
"a, b, c, d",10,333.00,1.00,334.00,true
"a, b, c, d, e",1,344.00,16.00,360.00,true
"a, b, c, d, e",2,342.00,2.00,344.00,true
"a, b, c, d, e",3,324.00,1.00,325.00,true
"a, b, c, d, e",4,347.00,5.00,352.00,true
"a, b, c, d, e",5,305.00,1.00,306.00,true
"a, b, c, d, e",6,338.00,1.00,339.00,true
"a, b, c, d, e",7,361.00,2.00,363.00,true
"a, b, c, d, e",8,345.00,2.00,347.00,true
"a, b, c, d, e",9,318.00,1.00,319.00,true
"a, b, c, d, e",10,411.00,4.00,415.00,true
"a, b, c, d, e, f",1,396.00,1.00,397.00,true
"a, b, c, d, e, f",2,339.00,1.00,340.00,true
"a, b, c, d, e, f",3,321.00,1.00,322.00,true
"a, b, c, d, e, f",4,322.00,1.00,323.00,true
"a, b, c, d, e, f",5,365.00,3.00,368.00,true
"a, b, c, d, e, f",6,379.00,2.00,381.00,true
"a, b, c, d, e, f",7,351.00,1.00,352.00,true
"a, b, c, d, e, f",8,315.00,2.00,317.00,true
"a, b, c, d, e, f",9,633.00,1.00,634.00,true
"a, b, c, d, e, f",10,458.00,3.00,461.00,true
"a, b, c, d, e, f, g",1,366.00,1.00,367.00,true
"a, b, c, d, e, f, g",2,338.00,1.00,339.00,true
"a, b, c, d, e, f, g",3,342.00,1.00,343.00,true
"a, b, c, d, e, f, g",4,373.00,1.00,374.00,true
"a, b, c, d, e, f, g",5,351.00,1.00,352.00,true
"a, b, c, d, e, f, g",6,330.00,1.00,331.00,true
"a, b, c, d, e, f, g",7,324.00,1.00,325.00,true
"a, b, c, d, e, f, g",8,331.00,1.00,332.00,true
"a, b, c, d, e, f, g",9,355.00,1.00,356.00,true
"a, b, c, d, e, f, g",10,338.00,1.00,339.00,true
